"","studyID","Case.study","zcor.ECD.B","var.zcor.ECD.B","n.replicate.B","LD.metric","LD.unit","study_type","experiment_type","system","ecosystem","country","exp_duration","litter.species","litter.type","meshsize..mm.","temporal.extent","spatial_category","ECD_subcategory","ECD_identity","ECD_mixture","ECD_mixture_identity_type","ECD_intensity_norm_max","ECD_intensity_norm_min","ECD_magnitude","B.sampling","taxonomic.group","community.nature","consumer.taxa","B.metric","B.unit","ES_origin","B_imputation_M1","B_imputation_M2"
"34",119,119.1,-1.57466574630276,0.5,4,"mass loss","%","experimental","laboratory","aquatic","stream","Portugal",35,"Alnus glutinosa","leaf discs",NA,"single point in time","small","metals","Zn","no",NA,6.16484658886313,-5.1892834455239,11.354130034387,"litterbag","M","D","fungi","taxa richness","no./composite sample","Correlation","VAR zcor imputed","VAR zcor imputed"
"35",123,123.1,-0.614661323098108,0.0208333333333333,51,"rate (k)","d-1","observational","field","aquatic","streams","Germany",19,"Alnus glutinosa","broad leaves","0.25","single point in time",NA,"pesticides","pesticide mixture","yes","stressors, resources",0.532587115547503,-1.05664808956908,1.58923520511658,"leaf discs","M","D","fungi","taxa richness","no./sample","Correlation","SD not imputed","SD not imputed"
"36",123,123.1,-0.308574393588737,0.0714285714285714,17,"rate (k)","d-1","observational","field","aquatic","streams","Germany",19,"Alnus glutinosa","broad leaves","8","single point in time",NA,"pesticides","pesticide mixture","yes","stressors, resources",0.57500693825572,-2.09286456201198,2.6678715002677,"litterbag","A","D","shredders","taxa richness","no./composite sample","Correlation","SD not imputed","SD not imputed"
"37",123,123.1,-0.0971681448282832,0.0714285714285714,17,"rate (k)","d-1","observational","field","aquatic","streams","Germany",19,"Alnus glutinosa","broad leaves","8","single point in time",NA,"pesticides","pesticide mixture","yes","stressors, resources",0.57500693825572,-2.09286456201198,2.6678715002677,"litterbag","A","DFW","invertebrates","taxa richness","no./composite sample","Correlation","SD not imputed","SD not imputed"
"38",129,129.1,1.12576614488361,0.5,5,"rate (k)","d-1","experimental","field","aquatic","stream","Portugal",94.5,"Ochroma pyramidale","wood/veneer","10","over 5 sampling dates","small","nutrient enrichment","NO3","no",NA,-1.13046498721933,-3.6954143445996,2.56494935738027,"litterbag","M","D","fungi","taxa richness","total no. taxa","Correlation","SD not imputed","SD not imputed"
"39",129,129.1,-0.585487969555348,0.5,5,"rate (k)","d-1","experimental","field","aquatic","stream","Portugal",35,"Alnus glutinosa","broad leaves","10","over 5 sampling dates","small","nutrient enrichment","NO3","no",NA,-1.13046498721933,-3.6954143445996,2.56494935738027,"litterbag","M","D","fungi","taxa richness","total no. taxa","Correlation","SD not imputed","SD not imputed"
"40",129,129.1,0.371676737523751,0.5,5,"rate (k)","d-1","experimental","field","aquatic","stream","Portugal",94.5,"Quercus robur","broad leaves","10","over 5 sampling dates","small","nutrient enrichment","NO3","no",NA,-1.13046498721933,-3.6954143445996,2.56494935738027,"litterbag","M","D","fungi","taxa richness","total no. taxa","Correlation","SD not imputed","SD not imputed"
"41",157,157.1,0.28610895676177,0.111111111111111,12,"rate (k)","d-1","observational","field","aquatic","stream","USA",147,"red maple","broad leaves","4","4 sampling dates over 147 days","large","nutrient enrichment","SRP","yes","stressors, resources",-2.14849155765665,-2.95286437332682,0.80437281567017,"litterbag","A","DFW","invertebrates","taxa richness","per stream","Correlation","SD not imputed","SD not imputed"
"42",180,180.1,-0.58240554560279,0.0555555555555556,21,"rate (k)","d-1","observational","field","aquatic","stream","USA",56,"Acer saccharinum","broad leaves","10","3 samplings over 3 years","large","acid mine drainage","Al","yes","stressors",3.60811809746948,0.321583624127462,3.28653447334202,"kicknet and dip net","A","bioindicators","EPT","taxa richness","no./composite sample","Correlation","SD not imputed","SD not imputed"
"43",180,180.1,-1.17626473102635,0.0555555555555556,21,"rate (k)","d-1","observational","field","aquatic","stream","USA",56,"Acer saccharinum","broad leaves","10","3 samplings over 3 years","large","acid mine drainage","Al","yes","stressors",3.60811809746948,0.321583624127462,3.28653447334202,"kicknet and dip net","A","W","invertebrates","taxa richness","no./composite sample","Correlation","SD not imputed","SD not imputed"
"44",203,203.1,-0.913888848386706,0.0144927536231884,72,"rate (k)","d-1","observational","field","aquatic","stream","France",27,"Alnus glutinosa","broad leaves","10","single point in time","middle","eutrophication","NH4","yes","stressors, resources",1.61073507076035,-1.80892597414997,3.41966104491032,"Surber sampler","A","D","shredders","taxa richness","per m2","Correlation","SD not imputed","SD not imputed"
"45",203,203.1,-0.522440489605897,0.0144927536231884,72,"rate (k)","d-1","observational","field","aquatic","stream","France",27,"Alnus glutinosa","broad leaves","10","single point in time","middle","eutrophication","NH4","yes","stressors, resources",1.61073507076035,-1.80892597414997,3.41966104491032,"Surber sampler","A","W","invertebrates","Shannon index","per sample","Correlation","SD not imputed","SD not imputed"
"46",213,213.1,-0.798228197972328,0.00350877192982456,288,"rate (k)","d-1","observational","field","aquatic","estuary","Portugal",30,"Fucus vesiculosus","algae cut in 8 cm long fragments","5","4 samplings over 2 months","middle","metals","Hg","yes","stressors",2.00143640728089,-5.1892834455239,7.19071985280479,"litterbag","A","DFW","invertebrates","taxa richness","no./bag","Correlation","SD not imputed","SD not imputed"
"47",213,213.1,-0.38245790765987,0.00350877192982456,288,"rate (k)","d-1","observational","field","aquatic","estuary","Portugal",30,"Fucus vesiculosus","algae cut in 8 cm long fragments","5","4 samplings over 2 months","middle","metals","Hg","yes","stressors",2.00143640728089,-5.1892834455239,7.19071985280479,"litterbag","A","DFW","invertebrates","Shannon index","per bag","Correlation","SD not imputed","SD not imputed"
"48",213,213.1,-0.866618805131861,0.010752688172043,96,"rate (k)","d-1","observational","field","aquatic","estuary","Portugal",30,"Fucus vesiculosus","algae cut in 8 cm long fragments","5","single point in time","middle","metals","Hg","yes","stressors",2.00143640728089,-5.1892834455239,7.19071985280479,"core","A","W","invertebrates","Shannon index","per core sample","Correlation","SD not imputed","SD not imputed"
"49",213,213.1,-0.766942481950865,0.010752688172043,96,"rate (k)","d-1","observational","field","aquatic","estuary","Portugal",30,"Fucus vesiculosus","algae cut in 8 cm long fragments","5","single point in time","middle","metals","Hg","yes","stressors",2.00143640728089,-5.1892834455239,7.19071985280479,"core","A","W","invertebrates","taxa richness","per core sample","Correlation","SD not imputed","SD not imputed"
"50",213,213.1,-0.493224037029444,0.00350877192982456,288,"rate (k)","d-1","observational","field","aquatic","estuary","Portugal",30,"Phragmites australis","broad leaves cut in 8 cm long fragments","5","4 samplings over 2 months","middle","metals","Hg","yes","stressors",2.00143640728089,-5.1892834455239,7.19071985280479,"litterbag","A","DFW","invertebrates","taxa richness","no./bag","Correlation","SD not imputed","SD not imputed"
"51",213,213.1,-0.514321616071429,0.00350877192982456,288,"rate (k)","d-1","observational","field","aquatic","estuary","Portugal",30,"Phragmites australis","broad leaves cut in 8 cm long fragments","5","4 samplings over 2 months","middle","metals","Hg","yes","stressors",2.00143640728089,-5.1892834455239,7.19071985280479,"litterbag","A","DFW","invertebrates","Shannon index","per bag","Correlation","SD not imputed","SD not imputed"
"52",215,215.1,-1.32230780580821,0.5,4,"rate (k)","d-1","observational","field","terrestrial","forest (brownfield)","France",283,"Populus tremula","broad leaves without petioles","5","single point in time","small","metals","Pb","yes","stressors",6.30787328773879,0.277801963852074,6.03007132388672,"pitfall traps","A","W","macrofauna","taxa richness","no./composite sample","Correlation","VAR zcor imputed","VAR zcor imputed"
"53",252,252.1,-1.44172016135563,0.333333333333333,6,"mass loss","%","experimental","microcosms","aquatic","stream","Portugal",24,"Alnus glutinosa","leaf discs","0.5","single point in time","small","metals","Cd","no",NA,10.0725638825801,-5.1892834455239,15.261847328104,"conidial suspension","M","D","fungi","taxa richness","no. conidial morphotypes/composite sample","Correlation","SD not imputed","SD not imputed"
"54",252,252.1,-1.22742213045555,0.333333333333333,6,"mass loss","%","experimental","microcosms","aquatic","stream","Portugal",24,"Alnus glutinosa","leaf discs","0.5","single point in time","small","metals","Cd","no",NA,10.0725638825801,-5.1892834455239,15.261847328104,"litterbag","M","D","fungi","taxa richness","no. OTUs/composite sample","Correlation","SD not imputed","SD not imputed"
"55",254,254.1,-0.337686667062815,0.0625,19,"rate (k) invertebrates","d-1","observational","field","aquatic","stream","Germany",21,"Birch","broad leaves","coarse","single point in time",NA,"pesticides","pesticide mixture","yes","stressors, resources",0.566395474920802,-1.43508452528932,2.00148000021012,"Surber sampler","A","W","invertebrates","taxa richness","no./composite sample","Correlation","SD not imputed","SD not imputed"
"56",275,275.1,0.898570208943,0.5,5,"rate (k)","d-1","observational","field","aquatic","river","Portugal",35,"Alnus glutinosa","broad leaves","0.5","5 sampling dates over 5 weeks",NA,"wastewater","SRP","yes","stressors, resources",2.00148000021012,-0.105360515657826,2.10684051586795,"litterbag","M","D","fungi","taxa richness","total richness","Correlation","SD not imputed","SD not imputed"
"57",275,275.1,-0.34564028998426,0.333333333333333,6,"rate (k)","d-1","observational","field","aquatic","river","Portugal",35,"Alnus glutinosa","broad leaves","10","5 sampling dates over 5 weeks",NA,"wastewater","SRP","yes","stressors, resources",2.00148000021012,-0.105360515657826,2.10684051586795,"litterbag","A","DFW","invertebrates","taxa richness","total richness","Correlation","SD not imputed","SD not imputed"
"58",279,279.1,-0.337822180092925,0.037037037037037,30,"rate (k)","%AFDM.d-1","observational","field","aquatic","stream","Spain",58,"Alnus glutinosa","broad leaves","5","single point in time","middle","eutrophication","SRP","yes","resource",0.588651227843739,-0.785472597727358,1.3741238255711,"litterbag","A","D","shredders","Shannon index","per bag","Correlation","SD not imputed","SD not imputed"
"59",279,279.1,-0.586266891307197,0.037037037037037,30,"rate (k)","%AFDM.d-1","observational","field","aquatic","stream","Spain",58,"Alnus glutinosa","broad leaves","5","single point in time","middle","eutrophication","SRP","yes","resource",0.588651227843739,-0.785472597727358,1.3741238255711,"litterbag","A","D","shredders","taxa richness","per bag","Correlation","SD not imputed","SD not imputed"
"60",279,279.1,-0.665232381377465,0.037037037037037,30,"rate (k)","%AFDM.d-1","observational","field","aquatic","stream","Spain",58,"Alnus glutinosa","broad leaves","5","single point in time","middle","eutrophication","SRP","yes","resource",0.588651227843739,-0.785472597727358,1.3741238255711,"litterbag","A","DFW","invertebrates","Shannon index","per bag","Correlation","SD not imputed","SD not imputed"
"61",279,279.1,0.0158302386787188,0.037037037037037,30,"rate (k)","%AFDM.d-1","observational","field","aquatic","stream","Spain",58,"Alnus glutinosa","broad leaves","5","single point in time","middle","eutrophication","SRP","yes","resource",0.588651227843739,-0.785472597727358,1.3741238255711,"litterbag","A","DFW","invertebrates","taxa richness","per bag","Correlation","SD not imputed","SD not imputed"
"62",279,279.1,0.669255513528972,0.037037037037037,30,"rate (k)","%AFDM.d-1","observational","field","aquatic","stream","Spain",58,"Alnus glutinosa","broad leaves","5","single point in time","middle","eutrophication","SRP","yes","resource",0.588651227843739,-0.785472597727358,1.3741238255711,"litterbag","M","D","fungi","Shannon index","per bag","Correlation","SD not imputed","SD not imputed"
"63",279,279.1,0.670755804959865,0.037037037037037,30,"rate (k)","%AFDM.d-1","observational","field","aquatic","stream","Spain",58,"Alnus glutinosa","broad leaves","5","single point in time","middle","eutrophication","SRP","yes","resource",0.588651227843739,-0.785472597727358,1.3741238255711,"litterbag","M","D","fungi","taxa richness","taxa/bag","Correlation","SD not imputed","SD not imputed"
"64",289,289.1,-0.0333065128092141,0.0104166666666667,99,"rate (k)","d-1","observational","field","aquatic","stream","France",66,"Fagus sylvatica","broad leaves","6",NA,NA,"nutrient enrichment","NH4","yes","stressors, resources",0.785270469435751,-0.458707669503884,1.24397813893963,"litterbag","A","D","shredders","taxa richness","per bag","Correlation","SD not imputed","SD not imputed"
"65",289,289.1,0.612412599894619,0.0104166666666667,99,"rate (k)","d-1","observational","field","aquatic","stream","France",66,"Fagus sylvatica","broad leaves","6",NA,NA,"nutrient enrichment","NH4","yes","stressors, resources",0.785270469435751,-0.458707669503884,1.24397813893963,"litterbag","A","DFW","deposit-feeder","taxa richness","per bag","Correlation","SD not imputed","SD not imputed"
"66",289,289.1,0.27440516264909,0.0104166666666667,99,"rate (k)","d-1","observational","field","aquatic","stream","France",66,"Fagus sylvatica","broad leaves","6",NA,NA,"nutrient enrichment","NH4","yes","stressors, resources",0.785270469435751,-0.458707669503884,1.24397813893963,"litterbag","A","DFW","invertebrates","taxa richness","per bag","Correlation","SD not imputed","SD not imputed"
"67",289,289.1,0.0496112537619138,0.0104166666666667,99,"rate (k)","d-1","observational","field","aquatic","stream","France",66,"Fagus sylvatica","broad leaves","6",NA,NA,"nutrient enrichment","NH4","yes","stressors, resources",0.785270469435751,-0.458707669503884,1.24397813893963,"litterbag","A","DFW","scrapers","taxa richness","per bag","Correlation","SD not imputed","SD not imputed"
"68",317,317.1,0.118027935361647,0.0434782608695652,26,"rate (k) invertebrates","d-1","observational","field","aquatic","stream","Finland",21,"Alnus glutinosa","broad leaves","6","two sampling dates over 2 months",NA,"pesticides","pesticide mixture","yes","stressors, resources",-0.514005276683371,-1.25276296849537,0.738757691811999,"Surber sampler","A","W","invertebrates","Evenness","no./composite sample","Correlation","SD not imputed","SD not imputed"
"69",317,317.1,0.10628795963015,0.0434782608695652,26,"rate (k) invertebrates","d-1","observational","field","aquatic","stream","Finland",21,"Alnus glutinosa","broad leaves","6","two sampling dates over 2 months",NA,"pesticides","pesticide mixture","yes","stressors, resources",-0.514005276683371,-1.25276296849537,0.738757691811999,"Surber sampler","A","W","invertebrates","Shannon index","no./composite sample","Correlation","SD not imputed","SD not imputed"
"70",317,317.1,-0.0487300831898871,0.0434782608695652,26,"rate (k) invertebrates","d-1","observational","field","aquatic","stream","Finland",21,"Alnus glutinosa","broad leaves","6","two sampling dates over 2 months",NA,"pesticides","pesticide mixture","yes","stressors, resources",-0.514005276683371,-1.25276296849537,0.738757691811999,"Surber sampler","A","W","invertebrates","taxa richness","no./composite sample","Correlation","SD not imputed","SD not imputed"
"71",317,317.2,-0.790180909442071,0.0344827586206897,32,"rate (k) invertebrates","d-1","observational","field","aquatic","stream","France",21,"Alnus glutinosa","broad leaves","6","two sampling dates over 2 months",NA,"pesticides","pesticide mixture","yes","stressors, resources",0.902867711542014,-1.25276296849537,2.15563068003738,"Surber sampler","A","W","invertebrates","Evenness","no./composite sample","Correlation","SD not imputed","SD not imputed"
"72",317,317.2,-0.805650231925055,0.0344827586206897,32,"rate (k) invertebrates","d-1","observational","field","aquatic","stream","France",21,"Alnus glutinosa","broad leaves","6","two sampling dates over 2 months",NA,"pesticides","pesticide mixture","yes","stressors, resources",0.902867711542014,-1.25276296849537,2.15563068003738,"Surber sampler","A","W","invertebrates","Shannon index","no./composite sample","Correlation","SD not imputed","SD not imputed"
"73",317,317.2,-0.484392273769938,0.0344827586206897,32,"rate (k) invertebrates","d-1","observational","field","aquatic","stream","France",21,"Alnus glutinosa","broad leaves","6","two sampling dates over 2 months",NA,"pesticides","pesticide mixture","yes","stressors, resources",0.902867711542014,-1.25276296849537,2.15563068003738,"Surber sampler","A","W","invertebrates","taxa richness","no./composite sample","Correlation","SD not imputed","SD not imputed"
